Summary;Description
Internal Users can control field-level access to data;"AS A : Data Administrator for the States of Guernsey

I NEED TO : control which fields of data specific User Accounts or Roles can view and manage

SO THAT : I can ensure data security and privacy in accordance with relevant regulations and laws. 

I KNOW THIS IS SUCCESSFUL WHEN : I can assign different field access levels (view, edit, hide) to various user roles. Users can only interact with the fields according to their assigned permissions."
Internal Users can control access to Customer Records;"AS A : Data Administrator for the States of Guernsey

I NEED TO : restrict which Users or Roles can view or manage specific records or sets of records

SO THAT : I can easily protect sensitive information 

I KNOW THIS IS SUCCESSFUL WHEN : I can grant view-only access to a particular set of Customer Records for one User or Role. I can completely hide a specific Customer Record from another User or Role."
Internal Users can control access to MyGov applications;"AS A : Data Administrator for the States of Guernsey

I NEED TO : control which applications specific Users or Roles can access

SO THAT : I can ensure users only have access to the tools they need to perform their jobs 

I KNOW THIS IS SUCCESSFUL WHEN : I can enable and disable access to specific applications. Controlling application access aligns with the principle of least privilege, promoting security."
Internal Users can control access based on the User Verification-Level;"AS A : Information Security Officer for the States of Guernsey

I NEED TO : control system access based on the verification level of the User  

SO THAT : access to sensitive data and actions within Generic Systems are protected from unauthorised users

I KNOW THIS IS SUCCESSFUL WHEN : Users can only access systems and features matching their verified status. Access attempts by unverified or insufficiently verified Users are blocked."
Internal Users can control access based on the User Authentication-Level;"AS A : Information Security Officer for the States of Guernsey

I NEED TO : control system access based on the authentication level of the User   

SO THAT : access to sensitive data and actions within Generic Systems are protected from unauthorised users

I KNOW THIS IS SUCCESSFUL WHEN : Users can only access systems and features matching their authentication status. Access attempts by unauthenticated or insufficiently authenticated Users are blocked."
Internal Users can control access using dynamic authentication rules;"AS A : Security Officer for States of Guernsey

I NEED TO : authenticate Users using dynamic factors (e.g. time, location, etc.) that challenges unusual access requests

SO THAT : I can protect sensitive systems and data from unauthorised access.  

I KNOW THIS IS SUCCESSFUL WHEN : The system blocks or requires additional verification for logins outside of a User's typical access patterns (location, time, device). The level of security adapts to the sensitivity of the data being accessed."
Internal Users can apply risk-based access controls;"AS A : System Administrator for the States of Guernsey

I NEED TO : assign sensitivity levels to data and services, and require matching authentication strength for access

SO THAT : access to sensitive data is restricted to Users who have provided sufficient proof of identity

I KNOW THIS IS SUCCESSFUL WHEN : The system allows assigning sensitivity labels to data (e.g. Low, Medium, High). I can label an object (i.e. data, document, etc.) as ""Highly Confidential"" and configure access to require two-factor authentication. Access to an object is blocked if the User's authentication level doesn't match."
User is notified of changes to their access levels;"AS A : Customer or Internal User

I NEED TO : be notified when my permission to access resources is changed

SO THAT : I’m aware of what I can and cannot do

I KNOW THIS IS SUCCESSFUL WHEN : I receive a clear and timely notification whenever permissions are added, removed, or modified."
Internal Users can search access control data;"AS A : Security Officer for the States of Guernsey 

I NEED TO : search for items within the Access Control System

SO THAT : I can easily find and manage relevant User data

I KNOW THIS IS SUCCESSFUL WHEN : I can search using various criteria (e.g. User Account, Role, permission)."
Internal Users can categorise Objects;"AS A : Security Officer

I NEED TO : categorise objects (e.g. data, documents, etc.) into groups with shared permission settings

SO THAT : I can easily manage access rights for a large number of objects at once.

I KNOW THIS IS SUCCESSFUL WHEN : The system allows the creation of object groups with assignable permissions. A new object added to a group correctly inherits the group's permissions. "
Internal Users can apply Attributes to Objects;"AS A : System Administrator for the States of Guernsey

I NEED TO : attach descriptive attributes (e.g. sensitivity, department, location, project, etc.) to Users and data

SO THAT : I can make informed decisions when setting up permissions.

I KNOW THIS IS SUCCESSFUL WHEN : The system allows the creation of custom attributes for both users and objects. I can successfully filter a list of objects based on a specific attribute."
Data Administrator can create new data groups in the Customer Record;"AS A : Data Administrator for the States of Guernsey

I NEED TO : add additional fields of data to the Customer Record

SO THAT : where MyGov needs to hold additional information related to this Customer (e.g. financial information, medical information) this can be easily added to the Customer Record and accessed by authorised Generic Systems and Users

I KNOW THIS IS SUCCESSFUL WHEN : I can add a new field, or group of fields to the Customer Record. This additional data can be accessed under the same access controls and rules as existing data"
Data Administrator can manage data groups in the Customer Record;"AS A : Data Administrator for the States of Guernsey

I NEED TO : manage (edit/delete) fields of data in the Customer Record

SO THAT : where MyGov needs to hold additional information related to a Customer (e.g. financial information, medical information) this can be easily updated to the Customer Record 

I KNOW THIS IS SUCCESSFUL WHEN : I can amend a field, or group of fields on the Customer Record"
IAM Authentication and Verification;
Enforce Strong Authentication for Access Control Management;"AS A : Security Officer for the States of Guernsey

I NEED TO : require MFA for any User making changes to the Access Control System

SO THAT : I can protect the integrity or permission and reduce the risk of unauthorised changes

I KNOW THIS IS SUCCESSFUL WHEN : The system enforces MFA for a designated set of administrative actions related to access control. A user attempting to modify access controls without MFA is blocked. Users with permissions to change access controls must complete MFA each time they attempt to make changes."
Informing a user if login fails;"Display login fail message if login fails

 

AS A: Customer

I NEED TO: know if my login has failed

SO THAT: I know the why I wasn’t logged in

I KNOW THIS IS SUCCESSFUL WHEN: login fail message is displayed "
IAM Monitoring and Support;Provides tools for real-time monitoring of user activities and system access. Facilitates proactive support and troubleshooting.
Internal Users can monitor User activity;"AS A : Security Officer for the States of Guernsey

I NEED TO : view and analyse user account and role activity

SO THAT : I can detect potential security risks or unauthorised access 

I KNOW THIS IS SUCCESSFUL WHEN : I can filter audit logs using a range of options (e.g. user, role, action, time period, etc.), I receive alerts when suspicious activity patterns are identified (e.g. logins outside normal hours, multiple failed login attempts, unusual changes to roles, etc.)."
Internal User can provide support to Users;"AS A : Support Administrator for the States of Guernsey

I NEED TO : reset a Users credentials and troubleshoot issues

SO THAT : I can provide an expected level of support to Users attempting to access our System(s) 

I KNOW THIS IS SUCCESSFUL WHEN : Updates to the credentials are reflected immediately. The User is notified when their credentials have been changed. Users can successfully login with their reset credentials. "
IAM Compliance and Security;
IAM System will provide a secure login function;"AS A : Customer

I NEED TO : Have a secure login process for MyGov which aligns with industry certifications

SO THAT : The likelihood of my account being compromised is minimised and mitigated, protecting me and my data

I KNOW THIS WILL BE SUCCESSFUL WHEN : Various methods of securing accounts are in place and the solution is in line with industry wide security certifications. "
IAM System will lock User Accounts after unsuccessful login attempts;"Link to [https://mygov-digital.atlassian.net/browse/MGD-3|https://mygov-digital.atlassian.net/browse/MGD-3|smart-link]

AS A : User

I NEED TO : be locked out of my account after _n_ unsuccessful attempts 

SO THAT:  my account is more secure and protected from unauthorised access

I KNOW THIS IS SUCCESSFUL WHEN : My account has been locked and I can no longer log in and a message is displayed explaining I am locked out"
IAM System will monitor for suspicious login attempts;"AS A : Customer or Internal User

I NEED TO : Have my login attempts monitored for suspicious activity and have my account locked automatically if these are detected

SO THAT : my account is secured and the risk of unauthorised access is minimised

I KNOW THIS WILL BE SUCCESSFUL WHEN : Monitoring is in place to help secure my account and prevent unauthorised access. Examples might include, unusual geographic locations, new browsers, unusual IP addresses, unusual times "
IAM System will notify Users when User Account is locked;"AS A : Customer or Internal User

I NEED TO : be notified when my User Account has been locked 

SO THAT : I am aware of attempts to access my account incorrectly and can take the appropriate measures to secure my account

I KNOW THIS IS SUCCESSFUL WHEN : When the status of my account is changed to locked a communication is sent to me using the External Communications System [https://mygov-digital.atlassian.net/browse/MGD-47|https://mygov-digital.atlassian.net/browse/MGD-47|smart-link] "
Internal Users can obfuscate data;"AS A : System Administrator for the States of Guernsey

I NEED TO : partially obfuscate (e.g. mask, redact, placeholders, etc.) data when a User has insufficient permissions to see the full data with a reason why

SO THAT : Users are aware that information exists, without revealing sensitive details and can understand why the data is obfuscated

I KNOW THIS IS SUCCESSFUL WHEN : The system allows for setting different obfuscation rules (e.g. masking characters, showing metadata only, etc.). Obfuscation settings are configurable. I can provide a reasons why the data is being obfuscated."
IAM System will obfuscate sensitive data in Audit Logs;"AS A : Compliance Officer

I NEED TO : view audit logs, including those containing potentially sensitive data I don't normally have access to, with sensitive parts obfuscated

SO THAT : I can investigate potential issues or security breaches without compromising confidentiality

I KNOW THIS IS SUCCESSFUL WHEN : The system obfuscates sensitive data in audit logs when viewed by users without the necessary permissions. I can see an audit entry showing a change, but the details are obfuscated. An Authorised User can view an audit log containing redacted sensitive information. I have the option to request clarification from an authorised user about the obfuscated audit log entry."
IAM System can prevent access to sensitive data in Audit Logs;"AS A : Compliance Officer

I NEED TO : view audit logs, excluding highly sensitive data that I don't normally have access to

SO THAT : I can view logs to investigate potential issues or security breaches without compromising confidentiality

I KNOW THIS IS SUCCESSFUL WHEN : The system ensures highly-sensitive data in audit logs is inaccessible when viewed by users without the necessary permissions. An Authorised User can view an audit log containing highly-sensitive information. "
IAM System will provide reporting for obfuscated data;"AS A : Security Officer

I NEED TO : access reports related to obfuscated data

SO THAT : I can identify Customer Records with obfuscated data, the reasons for obfuscation, and the duration of obfuscation

I KNOW THIS IS SUCCESSFUL WHEN : I can run a report on demand. This reports provides with information related to Customer Records which have been obfuscated within the MyGov ecosystem."
Internal User can configure automated alerts;"AS A : System Administrator for the States of Guernsey

I NEED TO : set up alerts that trigger based on specific changes to sensitive data or unusual activity patterns.

SO THAT : I can proactively notify Users of potential security risks or compliance issues without delay.

I KNOW THIS IS SUCCESSFUL WHEN : The system allows me to define alerts based on changes to specific objects, attributes, or based on activity patterns. "
Access controls for systems will comply with applicable laws and best practices;"AS A : Compliance Officer

I NEED TO : ensure that the access is compliant with laws and best practices

SO THAT : we meet or exceed the requirements of applicable laws and best practices

I KNOW THIS IS SUCCESSFUL WHEN : I can obtain verification that the solution is compliant with laws and best practices."
IAM Single Sign-On and Session Management;
All Users can login;"AS A : Customer or Internal User

I NEED TO : log in to my MyGov Digital account 

SO THAT : I can access data and systems which I have the permission to access

I KNOW THIS IS SUCCESSFUL WHEN : I can log in and then view my personalised screen"
All Users can logout;"AS A : Customer or Internal User

I NEED TO : logout of my current active user session

SO THAT : I am not left logged in on any device once
